Time         X         Y        Az
   4.300-114.945 -99.589 133.710
   4.316-115.714 -98.541 126.261
   4.332-116.341 -97.402 118.813
   4.348-116.814 -96.191 111.365
   4.366-117.127 -94.929 103.916
   4.379-117.273 -93.638  96.468
   4.397-117.251 -92.338  89.019
   4.425-117.060 -91.052  81.571
   4.440-116.705 -89.801  74.122
   4.457-116.190 -88.608  66.674
   4.471-115.525 -87.491  59.225
   4.487-114.721 -86.469  51.777
   4.502-113.791 -85.561  44.328
   4.517-112.751 -84.781  36.880
   4.533-111.619 -84.142  29.432
   4.549-110.413 -83.655  21.983
   4.563-109.155 -83.329  14.535
   4.579-107.865 -83.169   7.086
   4.594-106.565 -83.177 359.638
   4.610-105.277 -83.354 352.189
   4.624-104.022 -83.696 344.741
   4.641-102.823 -84.198 337.292
   4.656-101.699 -84.851 329.844
   4.671-100.669 -85.644 322.395
   4.687 -99.751 -86.564 314.947
   4.702 -98.960 -87.595 307.499
   4.718 -98.309 -88.721 300.050
   4.734 -97.809 -89.921 292.602
   4.750 -97.469 -91.176 285.153
   4.765 -97.295 -92.464 277.705
   4.781 -97.289 -93.764 270.256
   4.797 -97.452 -95.054 262.808
   4.817 -97.780 -96.312 255.359
   4.828 -98.269 -97.516 247.911
   4.842 -98.910 -98.647 240.463
   4.858 -99.692 -99.686 233.014
   4.873-100.602-100.615 225.611
   4.888-101.624-101.418 218.162
   4.904-102.741-102.082 210.714
   4.919-103.936-102.595 203.265
   4.934-105.186-102.950 195.817
   4.950-106.473-103.139 188.368
   4.966-107.772-103.160 180.920
   4.981-109.064-103.012 173.471
   4.997-110.326-102.698 166.023
   5.012-111.536-102.223 158.575
   5.026-112.674-101.595 151.126
   5.042-113.721-100.825 143.678
   5.060-114.660 -99.926 136.229
   5.073-115.474 -98.912 128.781
   5.088-116.150 -97.802 121.332
   5.104-116.677 -96.613 113.884
   5.121-117.045 -95.366 106.435
   5.136-117.248 -94.082  98.987
   5.151-117.283 -92.783  91.538
   5.166-117.149 -91.490  84.090
   5.182-116.848 -90.225  76.642
   5.198-116.387 -89.010  69.193
   5.212-115.771 -87.865  61.745
   5.230-115.012 -86.809  54.296
   5.243-114.123 -85.861  46.848
   5.259-113.119 -85.035  39.399
   5.274-112.016 -84.348  31.951
   5.291-110.833 -83.808  24.502
   5.306-109.590 -83.427  17.054
   5.320-108.308 -83.210   9.605
   5.336-107.009 -83.161   2.157
   5.352-105.715 -83.281 354.709
   5.371-104.447 -83.568 347.260
   5.383-103.227 -84.016 339.812
   5.398-102.075 -84.620 332.363
   5.414-101.011 -85.367 324.915
   5.428-100.053 -86.246 317.466
   5.445 -99.217 -87.241 310.018
   5.459 -98.517 -88.337 302.569
   5.475 -97.966 -89.514 295.121
   5.491 -97.571 -90.752 287.673
   5.508 -97.340 -92.032 280.224
   5.522 -97.277 -93.330 272.776
   5.537 -97.383 -94.626 265.327
   5.552 -97.656 -95.897 257.879
   5.569 -98.091 -97.122 250.430
   5.583 -98.682 -98.280 242.982
   5.599 -99.418 -99.352 235.533
   5.614-100.286-100.319 228.085
   5.630-101.273-101.166 220.636
   5.646-102.361-101.877 213.188
   5.661-103.532-102.442 205.740
   5.676-104.766-102.850 198.291
   5.690-106.043-103.094 190.843
   5.707-107.340-103.171 183.394
   5.721-108.637-103.080 175.946
   5.737-109.911-102.820 168.497
   5.755-111.141-102.398 161.049
   5.769-112.305-101.820 153.600
   5.784-113.385-101.096 146.152
   5.799-114.361-100.238 138.703
   5.816-115.219 -99.261 131.255
   5.831-115.942 -98.181 123.807
   5.846-116.519 -97.016 116.358
   5.862-116.940 -95.786 108.910
   5.879-117.199 -94.512 101.461
   5.895-117.290 -93.215  94.013
   5.953-117.212 -91.917  86.564
   5.967-116.966 -90.641  79.116
   5.984-116.557 -89.407  71.667
   5.999-115.992 -88.236  64.219
   6.014-115.280 -87.149  56.771
   6.030-114.432 -86.163  49.322
   6.044-113.464 -85.295  41.874
   6.064-112.392 -84.560  34.425
   6.075-111.233 -83.970  26.977
   6.091-110.008 -83.536  19.528
   6.106-108.737 -83.264  12.080
   6.122-107.441 -83.159   4.631
   6.138-106.143 -83.223 357.183
   6.154-104.864 -83.454 349.734
   6.170-103.625 -83.850 342.286
   6.185-102.449 -84.403 334.838
   6.200-101.354 -85.103 327.389
   6.216-100.359 -85.940 319.941
   6.232 -99.480 -86.898 312.492
   6.248 -98.734 -87.963 305.044
   6.263 -98.132 -89.115 297.595
   6.278 -97.684 -90.335 290.147
   6.294 -97.398 -91.604 282.698
   6.310 -97.279 -92.898 275.250
   6.326 -97.329 -94.197 267.802
   6.341 -97.547 -95.479 260.353
   6.356 -97.929 -96.721 252.905
   6.371 -98.469 -97.904 245.456
   6.387 -99.158 -99.006 238.008
   6.402 -99.984-100.010 230.559
   6.418-100.933-100.899 223.111
   6.433-101.989-101.657 215.662
   6.448-103.135-102.271 208.214
   6.463-104.350-102.732 200.765
   6.479-105.615-103.032 193.317
   6.494-106.908-103.165 185.869
   6.509-108.208-103.129 178.420
   6.525-109.492-102.925 170.972
   6.541-110.738-102.556 163.523
   6.555-111.927-102.029 156.075
   6.590-113.037-101.352 148.626
   6.618-114.049-100.537 141.178
   6.632-114.948 -99.598 133.729
   6.647-115.717 -98.550 126.281
   6.662-116.344 -97.411 118.832
   6.678-116.818 -96.200 111.384
   6.694-117.131 -94.939 103.936
   6.709-117.278 -93.647  96.487
   6.724-117.256 -92.347  89.039
   6.739-117.066 -91.061  81.590
   6.754-116.711 -89.811  74.142
   6.770-116.197 -88.617  66.693
   6.784-115.532 -87.499  59.245
   6.799-114.728 -86.478  51.796
   6.815-113.798 -85.569  44.348
   6.831-112.759 -84.789  36.900
   6.847-111.627 -84.149  29.451
   6.861-110.421 -83.662  22.003
   6.878-109.163 -83.336  14.554
   6.892-107.873 -83.175   7.106
   6.907-106.573 -83.183 359.657
   6.923-105.285 -83.359 352.209
   6.938-104.031 -83.701 344.760
   6.954-102.831 -84.202 337.312
   6.970-101.707 -84.855 329.863
   6.985-100.677 -85.648 322.415
   7.000 -99.758 -86.567 314.967
   7.015 -98.967 -87.599 307.518
   7.031 -98.315 -88.724 300.070
   7.047 -97.815 -89.924 292.621
   7.065 -97.475 -91.178 285.173
   7.076 -97.300 -92.467 277.724
   7.092 -97.294 -93.766 270.276
   7.106 -97.456 -95.056 262.827
   7.122 -97.784 -96.314 255.379
   7.137 -98.273 -97.519 247.930
   7.153 -98.913 -98.650 240.482
   7.169 -99.695 -99.689 233.034
